event_id,event_date,event_type,title,source,source_url,summary,status,confidence,note
evt_20260617_market_regime,20260617,market_regime,A股行情类型：弱市退潮,strategy_router,,指数均值 0.63%；上涨占比 31.3%；全市场中位涨跌 -1.19%；跌超5%占比 2.2%；最强行业 玻璃 中位涨幅 5.50%,active,0.85,自动生成：行情路由
evt_20260617_industry_f6567ae8,20260617,fund_flow,玻璃 行业强势,strategy_router,,行业中位涨幅 5.5%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260617_industry_09594d2e,20260617,fund_flow,半导体 行业强势,strategy_router,,行业中位涨幅 3.27%，上涨占比 92.2%,active,0.75,自动生成：行业强弱
evt_20260617_industry_98c65728,20260617,fund_flow,陶瓷 行业强势,strategy_router,,行业中位涨幅 2.16%，上涨占比 60.0%,active,0.75,自动生成：行业强弱
evt_20260617_industry_e32384b4,20260617,fund_flow,元器件 行业强势,strategy_router,,行业中位涨幅 1.73%，上涨占比 72.0%,active,0.75,自动生成：行业强弱
evt_20260617_industry_80ae029a,20260617,fund_flow,船舶 行业强势,strategy_router,,行业中位涨幅 0.99%，上涨占比 72.7%,active,0.75,自动生成：行业强弱
evt_20260618_market_regime,20260618,market_regime,A股行情类型：弱市退潮,strategy_router,,指数均值 0.69%；上涨占比 36.7%；全市场中位涨跌 -0.77%；跌超5%占比 4.5%；最强行业 矿物制品 中位涨幅 4.87%,active,0.85,自动生成：行情路由
evt_20260618_industry_80c07ba2,20260618,fund_flow,矿物制品 行业强势,strategy_router,,行业中位涨幅 4.87%，上涨占比 86.1%,active,0.75,自动生成：行业强弱
evt_20260618_industry_e745419e,20260618,fund_flow,铜 行业强势,strategy_router,,行业中位涨幅 1.86%，上涨占比 61.1%,active,0.75,自动生成：行业强弱
evt_20260618_industry_2b396e2a,20260618,fund_flow,机床制造 行业强势,strategy_router,,行业中位涨幅 1.67%，上涨占比 79.2%,active,0.75,自动生成：行业强弱
evt_20260618_industry_09594d2e,20260618,fund_flow,半导体 行业强势,strategy_router,,行业中位涨幅 1.54%，上涨占比 71.5%,active,0.75,自动生成：行业强弱
evt_20260618_industry_d55d2c57,20260618,fund_flow,生物制药 行业强势,strategy_router,,行业中位涨幅 1.27%，上涨占比 77.5%,active,0.75,自动生成：行业强弱
evt_20260622_market_regime,20260622,market_regime,A股行情类型：弱市退潮,strategy_router,,指数均值 0.69%；上涨占比 0.0%；全市场中位涨跌 0.00%；跌超5%占比 0.0%,active,0.85,自动生成：行情路由
evt_20260622_industry_3a95775e,20260622,fund_flow,铅锌 行业强势,strategy_router,,行业中位涨幅 9.34%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260622_industry_a17ab4f8,20260622,fund_flow,保险 行业强势,strategy_router,,行业中位涨幅 7.07%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260622_industry_05127f4b,20260622,fund_flow,证券 行业强势,strategy_router,,行业中位涨幅 5.84%，上涨占比 100.0%,active,0.75,自动生成：行业强弱
evt_20260622_industry_e1741202,20260622,fund_flow,小金属 行业强势,strategy_router,,行业中位涨幅 5.35%，上涨占比 85.1%,active,0.75,自动生成：行业强弱
evt_20260622_industry_684c4627,20260622,fund_flow,铝 行业强势,strategy_router,,行业中位涨幅 4.18%，上涨占比 70.0%,active,0.75,自动生成：行业强弱
evt_20260623_market_regime,20260623,market_regime,A股行情类型：弱市退潮,strategy_router,,指数均值 -2.79%；上涨占比 50.1%；全市场中位涨跌 0.05%；跌超5%占比 7.9%；最强行业 化学制药 中位涨幅 3.15%；广度领涨行业 化学制药 涨幅超10%个股 9 只,active,0.85,自动生成：行情路由
evt_20260623_industry_4337bc99,20260623,fund_flow,化学制药 行业强势,strategy_router,,行业中位涨幅 3.15%，上涨占比 91.2%,active,0.75,自动生成：行业强弱
evt_20260623_industry_d55d2c57,20260623,fund_flow,生物制药 行业强势,strategy_router,,行业中位涨幅 2.56%，上涨占比 86.3%,active,0.75,自动生成：行业强弱
evt_20260623_industry_caab1cbe,20260623,fund_flow,中成药 行业强势,strategy_router,,行业中位涨幅 2.43%，上涨占比 82.4%,active,0.75,自动生成：行业强弱
evt_20260623_industry_20416304,20260623,fund_flow,酒店餐饮 行业强势,strategy_router,,行业中位涨幅 1.9%，上涨占比 77.8%,active,0.75,自动生成：行业强弱
evt_20260623_industry_e3139614,20260623,fund_flow,纺织 行业强势,strategy_router,,行业中位涨幅 1.89%，上涨占比 81.4%,active,0.75,自动生成：行业强弱
evt_20260623_ann_300204_sz_72deacb5,20260623,announcement,第六届董事会第十三次会议决议公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300204&announcementId=1225380769&orgId=9900017795&announcementTime=2026-06-23,300204.SZ 公告：第六届董事会第十三次会议决议公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300204_sz_1f074450,20260623,announcement,独立董事候选人声明与承诺（翟永功）,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300204&announcementId=1225380771&orgId=9900017795&announcementTime=2026-06-23,300204.SZ 公告：独立董事候选人声明与承诺（翟永功）,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300204_sz__2026_b5f54638,20260623,announcement,关于召开2026年第一次临时股东会的通知,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300204&announcementId=1225380770&orgId=9900017795&announcementTime=2026-06-23,300204.SZ 公告：关于召开2026年第一次临时股东会的通知,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300204_sz_541c9a6c,20260623,announcement,关于补选独立董事并调整董事会专门委员会的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300204&announcementId=1225380772&orgId=9900017795&announcementTime=2026-06-23,300204.SZ 公告：关于补选独立董事并调整董事会专门委员会的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300204_sz_669bd96d,20260623,announcement,独立董事提名人声明与承诺（翟永功）,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300204&announcementId=1225380773&orgId=9900017795&announcementTime=2026-06-23,300204.SZ 公告：独立董事提名人声明与承诺（翟永功）,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300204_sz_7ffde811,20260623,announcement,董事会提名委员会关于提名公司第六届董事会董事候选人的审查意见,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300204&announcementId=1225380774&orgId=9900017795&announcementTime=2026-06-23,300204.SZ 公告：董事会提名委员会关于提名公司第六届董事会董事候选人的审查意见,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_002317_sz_c8cf3c58,20260623,announcement,关于控股子公司获得日本专利证书的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002317&announcementId=1225380603&orgId=9900009189&announcementTime=2026-06-23,002317.SZ 公告：关于控股子公司获得日本专利证书的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_600258_sh_fcb9a6be,20260623,announcement,北京首旅酒店（集团）股份有限公司关于控股子公司京伦饭店向公司控股股东首旅集团申请借款额度关联交易的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600258&announcementId=1225381980&orgId=gssh0600258&announcementTime=2026-06-23,600258.SH 公告：北京首旅酒店（集团）股份有限公司关于控股子公司京伦饭店向公司控股股东首旅集团申请借款额度关联交易的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_600258_sh__2026_42bcd492,20260623,announcement,北京首旅酒店（集团）股份有限公司独立董事关于2026年第四次专门会议审议事项的独立意见,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600258&announcementId=1225381979&orgId=gssh0600258&announcementTime=2026-06-23,600258.SH 公告：北京首旅酒店（集团）股份有限公司独立董事关于2026年第四次专门会议审议事项的独立意见,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_600258_sh_ef88b999,20260623,announcement,北京首旅酒店（集团）股份有限公司第九届董事会第十八次会议决议公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600258&announcementId=1225381984&orgId=gssh0600258&announcementTime=2026-06-23,600258.SH 公告：北京首旅酒店（集团）股份有限公司第九届董事会第十八次会议决议公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_600258_sh_2e7951a9,20260623,announcement,北京首旅酒店（集团）股份有限公司关于公司向控股子公司京伦饭店提供财务资助的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600258&announcementId=1225381985&orgId=gssh0600258&announcementTime=2026-06-23,600258.SH 公告：北京首旅酒店（集团）股份有限公司关于公司向控股子公司京伦饭店提供财务资助的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300085_sz_93dc029a,20260623,announcement,关于为子公司提供担保的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300085&announcementId=1225381585&orgId=9900012331&announcementTime=2026-06-23,300085.SZ 公告：关于为子公司提供担保的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300497_sz_300497_20260623_4ba19c51,20260623,announcement,300497富祥股份投资者关系管理信息20260623,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300497&announcementId=1225384043&orgId=9900026422&announcementTime=2026-06-23,300497.SZ 公告：300497富祥股份投资者关系管理信息20260623,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_300497_sz_b314d6cb,20260623,announcement,关于公司为控股子公司提供担保进展的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=300497&announcementId=1225382558&orgId=9900026422&announcementTime=2026-06-23,300497.SZ 公告：关于公司为控股子公司提供担保进展的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_news__06_23_23_56_37_de4e2083,20260623,news,中国地震台网自动测定：06月23日23时56分在青海海西州直辖区附近（北纬37.81度，东经95.42度）发生4.2级左右地震，最终结果以正式速报为准。,news,,中国地震台网自动测定：06月23日23时56分在青海海西州直辖区附近（北纬37.81度，东经95.42度）发生4.2级左右地震，最终结果以正式速报为准。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__175_17_7787d502,20260623,news,【特朗普政府将提供175亿美元贷款 推动美国大型核电站建设】特朗普政府将提供175亿美元贷款，用于支持公用事业公司订购西屋电气公司(Westinghouse E,news,,【特朗普政府将提供175亿美元贷款 推动美国大型核电站建设】特朗普政府将提供175亿美元贷款，用于支持公用事业公司订购西屋电气公司(Westinghouse Electric Co.)设计的反应堆设备，此举旨在重振美国大型核电站建设。美国能源部周二宣布的这笔资金将以有条件的形式提供，最多包含五笔贷款，面向将各建造两座反应堆的公用事业公司及其他能源企业。美国能源部表示，西屋电气已与七家潜在合作方签署意向书，相关项目均已确定建设地点。该部门表示，在最终确定名单前不会披露相关公用事,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__50_4ce22e38,20260623,news,【高盛二季度股票交易业务营收据悉将突破50亿美元 再创行业纪录】知情人士透露，高盛集团的股票交易业务即将在第二季度创下另一项纪录，营收额有望超过50亿美元。知情,news,,【高盛二季度股票交易业务营收据悉将突破50亿美元 再创行业纪录】知情人士透露，高盛集团的股票交易业务即将在第二季度创下另一项纪录，营收额有望超过50亿美元。知情人士表示，在本季度仅剩最后一周之际，高管们预计高盛股票交易业务营收可能超过第一季度报告的53亿美元。这一业绩将超越彭博调查的分析师平均预期的47.7亿美元，标志着高盛股票交易部门连续第三个季度创下行业纪录。知情人士称，高盛股票交易的业绩受到亚洲市场活跃度激增的提振，这种活跃度推动了交易和融资活动的增长。这一局面主要归功,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_95d846bc,20260623,news,西班牙警方：马德里摩天大楼火情已得到控制，暂无人员受伤。,news,,西班牙警方：马德里摩天大楼火情已得到控制，暂无人员受伤。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__23_80b9c8ca,20260623,news,【国际海事组织宣布启动霍尔木兹海峡滞留海员疏散计划】国际海事组织23日宣布启动霍尔木兹海峡地区滞留海员疏散计划。国际海事组织秘书长多明格斯在一份声明中说，将与伊,news,,【国际海事组织宣布启动霍尔木兹海峡滞留海员疏散计划】国际海事组织23日宣布启动霍尔木兹海峡地区滞留海员疏散计划。国际海事组织秘书长多明格斯在一份声明中说，将与伊朗、阿曼等地区沿岸国家、美国以及国际航运业密切合作，疏散目前仍滞留在霍尔木兹海峡地区的超过1.1万名海员。（新华社）,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_a8ce4f02,20260623,news,巴基斯坦总理谢里夫：不应存在双重标准，不能允许部分国家拥有弹道导弹，却禁止伊朗拥有。,news,,巴基斯坦总理谢里夫：不应存在双重标准，不能允许部分国家拥有弹道导弹，却禁止伊朗拥有。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__azure_copilot_6bd06eb9,20260623,news,微软：Azure Copilot 可视化代理现已全面上线。,news,,微软：Azure Copilot 可视化代理现已全面上线。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_7ce73aa6,20260623,news,知情人士消息：特朗普将于周三在椭圆形办公室会见各大武器制造商。,news,,知情人士消息：特朗普将于周三在椭圆形办公室会见各大武器制造商。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__23_153591c7,20260623,news,【黎总统与美官员通话 讨论建立黎巴嫩停火监督机制】当地时间23日，黎巴嫩总统约瑟夫·奥恩与美国副总统万斯、美国国务卿鲁比奥通电话，双方讨论了黎巴嫩最新局势以及美,news,,【黎总统与美官员通话 讨论建立黎巴嫩停火监督机制】当地时间23日，黎巴嫩总统约瑟夫·奥恩与美国副总统万斯、美国国务卿鲁比奥通电话，双方讨论了黎巴嫩最新局势以及美伊瑞士会谈后的阶段性进展。黎巴嫩总统府发布的声明表示，万斯和鲁比奥重申了美国对黎巴嫩政府立场和国家主权的支持。声明称，美国官员强调，美方正在跟进落实瑞士会谈期间达成的各项谅解备忘录内容，包括建立一个由美国、黎巴嫩和伊朗组成的机制，以巩固黎巴嫩停火并监督相关措施的执行情况。美方补充说，目前正在审查有关该机制的结构和运作安,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__23_e58a59d7,20260623,news,【黎总统称谈判必须确保“以色列结束对黎占领”】黎巴嫩总统奥恩23日表示，黎巴嫩政府不会接受任何低于“以色列结束对黎巴嫩领土占领、黎巴嫩恢复全部领土主权”的谈判结,news,,【黎总统称谈判必须确保“以色列结束对黎占领”】黎巴嫩总统奥恩23日表示，黎巴嫩政府不会接受任何低于“以色列结束对黎巴嫩领土占领、黎巴嫩恢复全部领土主权”的谈判结果。 据黎总统府发表的声明，奥恩当天听取了黎巴嫩代表团赴华盛顿参加第五轮黎美以三方会谈情况汇报，随后作出上述表态。 奥恩表示，近期事态发展证明，通过谈判解决问题是实现黎巴嫩国家目标和维护国家主权的正确选择。他希望谈判能够在恢复黎巴嫩国家主权、结束以色列对黎南部占领等问题上取得决定性进展。 奥恩当天还与美国副总统万斯和美,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__varonis_faaa1ce4,20260623,news,网络安全企业 Varonis 在收到收购意向后，据传正在考量出售事宜。公司涨幅扩大至最高 23%。,news,,网络安全企业 Varonis 在收到收购意向后，据传正在考量出售事宜。公司涨幅扩大至最高 23%。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__3_5_c8e311f7,20260623,news,市场消息：黑石集团总裁兼首席运营官：公司计划未来 3 至 5 年在日本人工智能数据中心领域投资 300 亿美元。,news,,市场消息：黑石集团总裁兼首席运营官：公司计划未来 3 至 5 年在日本人工智能数据中心领域投资 300 亿美元。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_b8ef0b60,20260623,news,巴基斯坦总理谢里夫： 弹道导弹问题不能实行双重标准。,news,,巴基斯坦总理谢里夫： 弹道导弹问题不能实行双重标准。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_5bdc4d2d,20260623,news,巴基斯坦总理谢里夫： 谅解备忘录并未提及弹道导弹， 伊朗方面无意展开相关磋商。,news,,巴基斯坦总理谢里夫： 谅解备忘录并未提及弹道导弹， 伊朗方面无意展开相关磋商。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_9cf197b9,20260623,news,巴基斯坦总理谢里夫：巴基斯坦与伊朗将携手合作，实现互利共赢。,news,,巴基斯坦总理谢里夫：巴基斯坦与伊朗将携手合作，实现互利共赢。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news__23_853fc529,20260623,news,【印度总理莫迪会见王毅等金砖国家安全事务高级代表】印度总理莫迪23日在新德里总理府会见出席金砖国家安全事务高级代表会议的各国代表时，同中共中央政治局委员、中央外,news,,【印度总理莫迪会见王毅等金砖国家安全事务高级代表】印度总理莫迪23日在新德里总理府会见出席金砖国家安全事务高级代表会议的各国代表时，同中共中央政治局委员、中央外办主任王毅进行友好交流。（新华社）,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_973bb565,20260623,news,意大利能源部长：我认为意美之间的紧张局势不会危及意大利液化天然气供应。,news,,意大利能源部长：我认为意美之间的紧张局势不会危及意大利液化天然气供应。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_7dbd7625,20260623,news,巴西国家石油公司首席执行官表示，墨西哥湾墨西哥一侧海域值得重新评估开发潜力。,news,,巴西国家石油公司首席执行官表示，墨西哥湾墨西哥一侧海域值得重新评估开发潜力。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_5041526b,20260623,news,【王毅会见阿联酋最高国家安全委员会秘书长沙姆西 】中共中央政治局委员、中央外办主任王毅23日在新德里会见阿联酋最高国家安全委员会秘书长沙姆西。王毅表示，中国和阿,news,,【王毅会见阿联酋最高国家安全委员会秘书长沙姆西 】中共中央政治局委员、中央外办主任王毅23日在新德里会见阿联酋最高国家安全委员会秘书长沙姆西。王毅表示，中国和阿联酋是全面战略伙伴。近年来，在习近平主席和穆罕默德总统战略引领下，中阿关系历经国际风云，持续向前发展。中方愿同阿方坚定信心、共同努力，保持高层交往，深挖合作潜力，增进民心相通，推动中阿关系向更高水平迈进。（新华社）,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_news_719a0cab,20260623,news,巴基斯坦总理谢里夫：（与伊朗总统会晤时）我们绝不会让你们失望。巴基斯坦将履行这一职责，直至实现永久和平。,news,,巴基斯坦总理谢里夫：（与伊朗总统会晤时）我们绝不会让你们失望。巴基斯坦将履行这一职责，直至实现永久和平。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260623_ann_688506_sh__bl_b01d1_iza_bre_dec4f031,20260623,announcement,四川百利天恒药业股份有限公司自愿披露关于伦康依隆妥单抗（BL-B01D1/iza-bren）获批上市的公告,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=688506&announcementId=1225380568&orgId=9900024957&announcementTime=2026-06-23,688506.SH 公告：四川百利天恒药业股份有限公司自愿披露关于伦康依隆妥单抗（BL-B01D1/iza-bren）获批上市的公告,active,0.8,自动导入：公告影响方向需人工确认
evt_20260623_ann_600397_sh__2026_d2bad2ea,20260623,announcement,江钨装备2026年第二次临时股东会会议资料,tushare_anns_d,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600397&announcementId=1225381293&orgId=gssh0600397&announcementTime=2026-06-23,600397.SH 公告：江钨装备2026年第二次临时股东会会议资料,active,0.8,自动导入：公告影响方向需人工确认
evt_20260624_market_regime,20260624,market_regime,A股行情类型：弱市退潮,strategy_router,,指数均值 0.81%；上涨占比 26.0%；全市场中位涨跌 -2.02%；跌超5%占比 7.2%；成交额信号 平量（量比 0.99）；涨停/接近涨停 162 只；跌停/接近跌停 20 只；创近20日新高占比 7.9%；创近20日新低占比 40.8%；最强行业 半导体 中位涨幅 3.02%；广度领涨行业 半导体 涨幅超10%个股 20 只；跌停潮 20 只；新低蔓延 40.8%,active,0.85,自动生成：行情路由
evt_20260624_industry_09594d2e,20260624,fund_flow,半导体 行业强势,strategy_router,,行业中位涨幅 3.02%，上涨占比 81.9%,active,0.75,自动生成：行业强弱
evt_20260624_industry_3a95775e,20260624,fund_flow,铅锌 行业强势,strategy_router,,行业中位涨幅 2.4%，上涨占比 64.3%,active,0.75,自动生成：行业强弱
evt_20260624_industry_f6567ae8,20260624,fund_flow,玻璃 行业强势,strategy_router,,行业中位涨幅 2.01%，上涨占比 52.6%,active,0.75,自动生成：行业强弱
evt_20260624_industry_b69a59d5,20260624,fund_flow,空运 行业强势,strategy_router,,行业中位涨幅 1.4%，上涨占比 62.5%,active,0.75,自动生成：行业强弱
evt_20260624_industry_282ddedd,20260624,fund_flow,化纤 行业强势,strategy_router,,行业中位涨幅 0.55%，上涨占比 54.5%,active,0.75,自动生成：行业强弱
evt_20260624_news_acec9128,20260624,news,据俄罗斯方面报道，俄空中防御系统击落了三架飞向莫斯科的无人机。,news,,据俄罗斯方面报道，俄空中防御系统击落了三架飞向莫斯科的无人机。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260624_news__vincent_sta_02663e0e,20260624,news,【德商银行：欧元区通胀率或很快降至目标水平】德国商业银行的Vincent Stamer在一份报告中表示，伊朗与美国之间的一项初步和平协议正推动人们的希望，即欧元,news,,【德商银行：欧元区通胀率或很快降至目标水平】德国商业银行的Vincent Stamer在一份报告中表示，伊朗与美国之间的一项初步和平协议正推动人们的希望，即欧元区通胀率可能很快回落至欧洲央行2%的目标水平。他说，如果企业认为能源价格上涨是暂时的，它们可能会避免提高销售价格。德国商业银行预计，未来几个月通胀率将维持在3%左右，然后在明年下半年降至2%。“如果波斯湾冲突得到永久解决，这可能标志着这段通胀时期结束的开始。”Stamer说，尽管如此，由于通胀率持续高于3%，且高能源价,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260624_news_74051c30,20260624,news,【报告：美国天然气期货在区间交易中持稳】随着美国天然气期货继续在相当偏窄的区间内交易，其价格小幅走高。EBW Analytics的Eli Rubin在一份报告中,news,,【报告：美国天然气期货在区间交易中持稳】随着美国天然气期货继续在相当偏窄的区间内交易，其价格小幅走高。EBW Analytics的Eli Rubin在一份报告中表示，6月份迄今为止，亨利港的现货价格平均为每百万英热单位3.11美元，为处于近期区间底部的纽约商交所近月合约提供了支撑。他说，进入7月份气温升高以及液化天然气出口预期增加，可能会提供需求侧的支撑。他补充说，对“看涨叙事“的挑战包括产量恢复以及管道维护结束使得亨利港有更多供应。纽约商交所天然气期货上涨0.5%，报每百万,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
evt_20260624_news_be49a704,20260624,news,英国电网运营机构撤销周三电力供应余量预警。,news,,英国电网运营机构撤销周三电力供应余量预警。,needs_review,0.55,自动导入：待人工确认影响关系; [source-quality-audit] missing source_url for non-internal source; downgraded to needs_review.
