generated_at,regime,regime_label,regime_confidence,window_days,events_scanned,growth_score,infl_score,capital_layer,is_real_money,boundary,as_of,source,cpi_month,cpi_yoy,cpi_mom,pmi_month,pmi_manufacturing,pmi_delta,shibor_date,shibor_1w,shibor_1w_delta,shibor_3m,lpr_date,lpr_1y,lpr_5y,fx_date,usdcnh,usdcnh_delta,signal_notes,data_quality
2026-06-11T23:59:00,growth_up_infl_up,增长上行+通胀上行,0.25,30,4,-2,0,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-11,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260611,1.441,0.028,1.408,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-12T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-12,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260612,1.453,0.012,1.414,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-13T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-13,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260612,1.453,0.012,1.414,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-14T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-14,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260612,1.453,0.012,1.414,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-15T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-15,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260615,1.461,0.008,1.4225,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-16T23:59:00,growth_up_infl_up,增长上行+通胀上行,0.25,30,4,-2,0,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-16,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260616,1.488,0.027,1.428,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-17T23:59:00,growth_up_infl_down,增长上行+通胀下行（金发女孩）,0.25,30,4,0,-2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-17,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260617,1.464,-0.024,1.429,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR回落,missing_fx
2026-06-18T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-18,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260618,1.462,-0.002,1.43,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-19T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-19,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260618,1.462,-0.002,1.43,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-20T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-20,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260618,1.462,-0.002,1.43,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-21T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-21,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260618,1.462,-0.002,1.43,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-22T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.25,30,4,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-22,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260622,1.475,0.013,1.43,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落,missing_fx
2026-06-23T23:59:00,growth_up_infl_up,增长上行+通胀上行,0.25,30,4,-2,0,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-23,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260623,1.497,0.022,1.431,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-24T23:59:00,growth_up_infl_up,增长上行+通胀上行,0.25,30,4,-2,0,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-24,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260624,1.548,0.051,1.436,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR上行,missing_fx
2026-06-25T23:59:00,growth_up_infl_down,增长上行+通胀下行（金发女孩）,0.25,30,4,0,-2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-25,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260625,1.513,-0.035,1.4395,20260320,3.0,3.5,,,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR回落,missing_fx
2026-06-26T23:59:00,growth_up_infl_down,增长上行+通胀下行（金发女孩）,0.2,30,5,0,-2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-26,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260626,1.467,-0.046,1.44,20260320,3.0,3.5,2026-06-26,6.8166,,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR回落,ok
2026-06-27T23:59:00,growth_up_infl_down,增长上行+通胀下行（金发女孩）,0.2,30,5,0,-2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-27,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260626,1.467,-0.046,1.44,20260320,3.0,3.5,2026-06-27,6.807597,-0.009003,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR回落,ok
2026-06-28T23:59:00,growth_up_infl_down,增长上行+通胀下行（金发女孩）,0.2,30,5,0,-2,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-28,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260626,1.467,-0.046,1.44,20260320,3.0,3.5,2026-06-28,6.81116,0.003563,CPI回落/低位;PMI临界;PMI环比回落;SHIBOR回落,ok
2026-06-29T23:59:00,growth_down_infl_down,增长下行+通胀下行,0.2,30,5,-1,-1,shadow,N,研究级配置建议，不在 MarketGraph 内下单、不碰真实资金。,2026-06-29,tushare_cn_cpi; tushare_cn_pmi; tushare_shibor; tushare_lpr; marketgraph_fx_rates_daily,202605,1.2,-0.1,202605,50.0,-0.3,20260629,1.45,-0.017,1.437,20260320,3.0,3.5,2026-06-28,6.81116,0.003563,CPI回落/低位;PMI临界;PMI环比回落,ok
